time/s	Ewe/V	
3.146590721062021E+003	1.0181423E-001
3.156590720809400E+003	1.0383813E-001
3.166590720556778E+003	1.0257796E-001
3.176590720304157E+003	1.0223428E-001
3.186590720051536E+003	1.0152782E-001
3.196590719798915E+003	1.0278799E-001
3.206590719546293E+003	1.0112686E-001
3.216590719293672E+003	1.0068771E-001
3.226590719041051E+003	1.0160420E-001
3.236590718788430E+003	1.0206244E-001
3.246590718535808E+003	1.0085955E-001
3.256590718283187E+003	1.0114595E-001
3.266590718030566E+003	1.0173785E-001
3.276590717777945E+003	1.0072590E-001
3.286590717525323E+003	1.0135598E-001
3.296590717272702E+003	1.0047769E-001
3.306590717020081E+003	1.0158511E-001
3.316590716767460E+003	1.0087865E-001
3.326590716514838E+003	9.9637575E-002
3.336590716262217E+003	1.0126051E-001
3.346590716009596E+003	1.0011491E-001
3.356590715756975E+003	1.0103139E-001
3.358457315709820E+003	1.1109364E-001
3.358557115707299E+003	1.2111770E-001
3.358629315705475E+003	1.3116084E-001
3.358817515700721E+003	1.4116581E-001
3.358879315699160E+003	1.5164810E-001
3.359199915691061E+003	1.6201584E-001
3.359459315684508E+003	1.0496464E-001
3.361622115629871E+003	1.1630615E-001
3.361633515629583E+003	1.2640658E-001
3.361642315629360E+003	1.3727075E-001
3.361651715629123E+003	1.4838313E-001
3.361663115628835E+003	1.5896089E-001
3.361686715628239E+003	1.7009237E-001
3.361717315627466E+003	1.8044102E-001
3.361741715626849E+003	1.9086604E-001
3.361743115626814E+003	2.0110013E-001
3.361771915626086E+003	2.1154423E-001
3.361800915625354E+003	2.2252296E-001
3.361840915624343E+003	2.3262340E-001
3.361850315624106E+003	2.4283838E-001
3.361883115623277E+003	2.5322521E-001
3.361897115622924E+003	2.6345930E-001
3.361921715622302E+003	2.7350247E-001
3.361937515621903E+003	2.8354561E-001
3.361955915621438E+003	2.9421884E-001
3.362017715619877E+003	3.0699235E-001
3.362052515618998E+003	3.1789470E-001
3.362062515618745E+003	3.2809061E-001
3.362064915618685E+003	3.3834377E-001
3.362070315618548E+003	3.5023898E-001
3.362077715618361E+003	3.6318433E-001
3.362079915618306E+003	3.5243472E-001
3.362081115618275E+003	3.6264974E-001
3.362083715618210E+003	3.7339935E-001
3.362084315618195E+003	3.6121771E-001
3.362085315618169E+003	3.7465951E-001
3.362085915618154E+003	3.6396718E-001
3.362088515618088E+003	3.7561417E-001
3.362091115618023E+003	3.8563824E-001
3.362091915618003E+003	3.7454495E-001
3.362094515617937E+003	3.8978150E-001
3.362100315617790E+003	4.0308964E-001
3.362100515617785E+003	3.9277917E-001
3.362102115617745E+003	3.7108904E-001
3.362104515617684E+003	3.8485539E-001
3.362105515617659E+003	3.9487946E-001
3.362110115617543E+003	4.0574363E-001
3.362111715617502E+003	3.9547136E-001
3.362115715617401E+003	4.0702289E-001
3.362116715617376E+003	3.9701793E-001
3.362117515617356E+003	4.1513759E-001
3.362119715617300E+003	3.9281738E-001
3.362124115617189E+003	4.0814939E-001
3.362125715617149E+003	3.9728522E-001
3.362131515617002E+003	4.0919954E-001
3.362134115616936E+003	4.1939545E-001
3.362135715616896E+003	4.3060330E-001
3.362139715616795E+003	4.4328132E-001
3.362144515616674E+003	4.5618850E-001
3.362145315616654E+003	4.6714813E-001
3.362146315616628E+003	4.7784045E-001
3.362148315616578E+003	4.6649894E-001
3.362150315616527E+003	4.5643672E-001
3.362151715616492E+003	4.7459456E-001
3.362154315616426E+003	4.8507687E-001
3.362154915616411E+003	4.7398359E-001
3.362157115616355E+003	4.8549694E-001
3.362157515616345E+003	4.7014579E-001
3.362159515616295E+003	4.8133457E-001
3.362160515616270E+003	4.7052768E-001
3.362161715616239E+003	4.8200282E-001
3.362163715616189E+003	4.9489090E-001
3.362165915616133E+003	5.0848544E-001
3.362169315616047E+003	4.9701026E-001
3.362170915616007E+003	5.1228505E-001
3.362173315615946E+003	5.2439028E-001
3.362174515615916E+003	5.3494895E-001
3.362178315615820E+003	5.2209908E-001
3.362178915615805E+003	5.3517807E-001
3.362179715615785E+003	5.2055252E-001
3.362181915615729E+003	5.0858092E-001
3.362184915615653E+003	5.2293921E-001
3.362186115615623E+003	5.0655699E-001
3.362186515615613E+003	5.1749754E-001
3.362189715615532E+003	5.2916366E-001
3.362194315615416E+003	5.3985596E-001
3.362203115615193E+003	5.5075830E-001
3.362205315615138E+003	5.6223351E-001
3.362205715615128E+003	5.5215216E-001
3.362209715615027E+003	5.4214716E-001
3.362210915614996E+003	5.5228579E-001
3.362211315614986E+003	5.4117340E-001
3.362212915614946E+003	5.5249584E-001
3.362213915614921E+003	5.4056245E-001
3.362248715614041E+003	5.2960277E-001
3.362249915614011E+003	5.4065788E-001
3.362257515613819E+003	5.0212735E-001
3.362257715613814E+003	4.2371055E-001
3.362257915613809E+003	4.0776753E-001
3.362258515613794E+003	3.9625418E-001
3.362280115613248E+003	4.0755749E-001
3.362347115611556E+003	3.9724705E-001
3.362424115609610E+003	4.0727109E-001
3.362460315608696E+003	3.9718977E-001
3.362557715606235E+003	4.0744293E-001
3.362581115605644E+003	1.6109936E-001
3.362581315605639E+003	1.0582384E-001
3.362924115596979E+003	1.1624887E-001
3.363034715594185E+003	1.2701757E-001
3.363082515592978E+003	1.3713710E-001
3.363108115592331E+003	1.4752392E-001
3.363134515591664E+003	1.5804441E-001
3.363142915591452E+003	1.7013057E-001
